Unnamed: 0	Mô tả hàng hóa	Mã HS
	DODECYL PHENOL	29071900
	Bột từ thịt lợn, đã sấy khô	02101990
	Dầu bôi trơn cho động cơ máy bay, có chứa hàm lượng trên 70% là dầu có nguồn gốc từ dầu mỏ, thu được 4,8% thể tích ở 250oC, dạng lỏng	27101942
	Dầu bôi trơn cho động cơ máy bay, có chứa hàm lượng trên 70% là dầu có nguồn gốc từ dầu mỏ, thu được 5,1% thể tích ở 250oC, dạng lỏng	27101942
	Dầu bôi trơn cho động cơ máy bay, có chứa hàm lượng trên 70% là dầu có nguồn gốc từ dầu mỏ, thu được 5,4% thể tích ở 250oC, dạng lỏng	27101942
	Dolomite, chưa nung, dạng cục, có các cạnh sắc không đều, màu xám, kích thước từ 1,5 – 5cm, được sử dụng trong ngành sơn	25181000
	Hydroxyisobutyric Acid Methyl Ester	29181900
	Thép hợp kim cán phẳng trong đó ti là nguyên tố duy nhất quyết định yếu tố thép hợp kim ( hàm lượng Ti ≈ 0,069% tính theo trọng lượng), chiều dày 0,45mm, chiều rộng 520mm, bề mặt được phủ sơn, 	72269999
	Chỉ thị màu, dựa trên bào tử vi khuẩn Geobacillus Stearothermophilus, thường dùng cho thiết bị hấp khử trùng.	38220030
	Chế phẩm làm sạch chứa natri hydroxit, chất hữu cơ hoạt động bề mặt anion, dạng bột	34029092
	Chế phẩm từ Zeolite và các hợp chất của nhôm và silic đã được tạo hình dạng hạt (hình cầu) kích thước không đồng đều đường kính từ 4 mm đến 5 mm, được sử dụng làm chất hút bám cho các loại chất lưu (chất khí và chất lỏng)	38249999
	Kẽm Sulphat dạng tinh thể lỏng 	28332990
	Tetraisopropyl titanate.	29051900
	Dung dịch nhỏ mắt dùng để chống khô mắt; Công dụng: Dùng để nhỏ mắt chống khô mắt hoặc khi đeo kính áp tròng, dạng ống (tép) 0,4ml/ống ( 5 ống/vỉ).	33079050
	Sản phẩm cấu tạo gồm các miếng xà cừ từ vỏ nhuyễn thể, kích thước (15×15)mm, thường dùng khảm trang trí, được gắn trên đế bằng vải lưới bằng keo, kích thước toàn tấm (305×305)mm	96019011
	Chế phẩm có chứa 2-phenoxyethanol; 1,2--hexanediol và 1,2-decanediol, dạng lỏng, dùng làm chất bảo quản trong sản xuất myc phẩm.	38089990
	Tấm kim loại kích thước 0.3mm x 1030mm x 800mm, dùng trong công nghệ in CTP, làm bằng nhôm, một mặt đã được đánh bóng, một mặt đã được sơn phủ chất nhạy sáng màu xanh dương làm bản in (khuôn in), hình ảnh cần in được truyền từ computer qua thiết bị chiều đèn laser và lưu lại trên mặt màu xanh của tấm nhôm	37013000
	Phế liệu giấy, dạng ống lõi, đã bọc kim loại hai đầu (tỷ lệ kim loại <2% khối lượng mẫu), được làm chủ yếu từ bột giấy kraft chưa tẩy trắng, có chứa bột giấy tái chế	47071000
